word	word_id	pos	pronunciation	homograph_type	fine_homograph_type
abstract	abstract_vrb	verb	əb'stɹækt	Morphosyntactic	PoS
abuse	abuse_nou	noun	ə'bjuːs	Morphosyntactic	PoS
abuse	abuse_vrb	verb	ə'bjuːz	Morphosyntactic	PoS
abuses	abuses_nou	noun	ə'bjuː1səz	Morphosyntactic	PoS
abuses	abuses_vrb	verb	ə'bjuː1zə	Morphosyntactic	PoS
addict	addict_nou	noun	ædəkt	Morphosyntactic	PoS
addict	addict_vrb	verb	ə'dɪkt	Morphosyntactic	PoS
advocate	advocate_nou	noun	ædvəkət	Morphosyntactic	PoS
advocate	advocate_vrb	verb	ædvəˌkeɪt	Morphosyntactic	PoS
affect	affect_nou-psy	noun	æˌfɛkt	Lexical	PSI
affect	affect	verb	ə'fɛkt	Lexical	PSI
affiliate	affiliate_nou	noun	ə'fɪˌliːət	Morphosyntactic	PoS
affiliate	affiliate_vrb	verb	ə0'fɪˌliːˌeɪt	Morphosyntactic	PoS
aggregate	aggregate_vrb	verb	æɡɹəˌɡeɪt	Morphosyntactic	PoS
alternate	alternate_vrb	verb	ɑːltɚˌneɪt	Morphosyntactic	PoS
animate	animate_vrb	verb	ænəˌmeɪt	Morphosyntactic	PoS
appropriate	appropriate_adj	adjective	ə'pɹoʊˌpɹiːət	Lexical	NSO
appropriate	appropriate_vrb	verb	ə'pɹoʊˌpɹiːˌeɪt	Lexical	NSO
approximate	approximate_adj-nou	adjective	ə'pɹɑːksəmət	Morphosyntactic	PoS
approximate	approximate_vrb	verb	ə'pɹɑːsəˌmeɪt	Morphosyntactic	PoS
articulate	articulate_adj	adjective	ɑːɹ'tɪkjələt	Morphosyntactic	PoS
articulate	articulate_vrb	verb	ˌɑːɹ'tɪkjəˌleɪt	Morphosyntactic	PoS
associate	associate_vrb	verb	ə'soʊˌsiːˌeɪt	Lexical/Morphosyntactic	PoS/PSI
attribute	attribute_nou	noun	ætɹəˌbjuːt	Morphosyntactic	PoS
attribute	attribute_vrb	verb	ə'tɹɪˌbjuːt	Morphosyntactic	PoS
august	august_adj	adjective	ˌɑː'ɡʌst	Lexical	NSO (etymology)
blessed	blessed_adj	adjective	blɛsəd	Morphosyntactic	PoS
blessed	blessed_vrb	verb	blɛst	Morphosyntactic	PoS
close	close_vrb	verb	kloʊz	Lexical	NSO/PSI
combine	combine_nou	noun	kɑːmˌbaɪn	Lexical	NSO (etymology)
combine	combine_vrb	verb	kəm'baɪn	Lexical	NSO (etymology)
compact	compact_vrb	verb	kəm'pækt	Morphosyntactic	PoS
compound	compound_vrb	verb	kəm'paʊnd	Morphosyntactic	PoS
compress	compress_nou	noun	kɑːmˌpɹɛs	Lexical	PSI
compress	compress	verb	kəm'pɹɛs	Lexical	PSI
conduct	conduct_nou	noun	kɑːnˌdʌkt	Morphosyntactic	PoS
conduct	conduct_vrb	verb	kən'dʌkt	Morphosyntactic	PoS
confines	confines_nou	noun	kɑːnˌfaɪnz	Morphosyntactic	PoS
confines	confines_vrb	verb	kən'faɪnz	Morphosyntactic	PoS
conflict	conflict_nou	noun	kɑːnfləkt	Morphosyntactic	PoS
conflict	conflict_vrb	verb	kən'flɪkt	Morphosyntactic	PoS
conglomerate	conglomerate_vrb	verb	kən'ɡlɑːmɚˌeɪt	Morphosyntactic	PoS
conjugate	conjugate_vrb	verb	kɑːnʤəˌɡeɪt	Morphosyntactic	PoS
conscript	conscript_nou	noun	kɑːnˌskɹɪpt	Morphosyntactic	PoS
conscript	conscript_vrb	verb	kən'skɹɪpt	Morphosyntactic	PoS
console	console_nou	noun	kɑːnˌsoʊl	Lexical	NSO
console	console_vrb	verb	kən'soʊl	Lexical	NSO
consort	consort_nou	noun	kɑːnˌsɔːɹt	Lexical	NSO
consort	consort_vrb	verb	kən'sɔːɹt	Lexical	NSO
construct	construct_nou	noun	kɑːnˌstɹʌkt	Lexical	PSI
construct	construct_vrb	verb	kən'stɹʌkt	Lexical	PSI
consummate	consummate_adj	adjective	kɑːnsəmət	Lexical/Morphosyntactic	PoS/PSI
consummate	consummate_vrb	verb	kɑːnsəˌmeɪt	Lexical/Morphosyntactic	PoS/PSI
content	content_nou	noun	kɑːnˌtɛnt	Lexical	NSO
contest	contest_nou	noun	kɑːnˌtɛst	Morphosyntactic	PoS
contest	contest_vrb	verb	kən'tɛst	Morphosyntactic	PoS
contract	contract_nou	noun	kɑːnˌtɹækt	Lexical/Morphosyntactic	NSO/PoS
contract	contract_vrb	verb	kən'tɹækt	Lexical/Morphosyntactic	NSO/PoS
contrast	contrast_nou	noun	kɑːnˌtɹæst	Morphosyntactic	PoS
contrast	contrast_vrb	verb	kən'tɹæst	Morphosyntactic	PoS
converse	converse_vrb	verb	kən'vɚs	Lexical	NSO
convert	convert_nou	noun	kɑːnvɚt	Lexical	PSI
convert	convert_vrb	verb	kən'vɚt	Lexical	PSI
convict	convict_nou	noun	kɑːnvəkt	Morphosyntactic	PoS
convict	convict_vrb	verb	kən'vɪkt	Morphosyntactic	PoS
coordinate	coordinate_vrb	verb	ˌkoʊ'ɔːɹdəˌneɪt	Lexical	PSI
correlate	correlate_nou	noun	kɔːɹələt	Morphosyntactic	PoS
correlate	correlate_nou-vrb	verb	kɔːɹəˌleɪt	Morphosyntactic	PoS
decrease	decrease_nou	noun	diːˌkɹiːs	Morphosyntactic	PoS
decrease	decrease_vrb	verb	də'kɹiːs	Morphosyntactic	PoS
defect	defect_nou	noun	diːˌfɛkt	Lexical	NSO
defect	defect_vrb	verb	də'fɛkt	Lexical	NSO
degenerate	degenerate_vrb	verb	də'ʤɛnɚˌeɪt	Morphosyntactic	PoS
delegate	delegate_nou	noun	dɛləɡət	Morphosyntactic	PoS
delegate	delegate_vrb	verb	dɛləˌɡeɪt	Morphosyntactic	PoS
deliberate	deliberate_adj	adjective	də'lɪbɚət	Morphosyntactic	PoS
deliberate	deliberate_vrb	verb	də'lɪbɚˌeɪt	Morphosyntactic	PoS
desert	desert_nou	noun	dɛzɚt	Lexical	PSI
desert	desert_vrb	verb	də'zɚt	Lexical	PSI
deviate	deviate_nou	noun	diːˌviːət	Lexical	PSI
deviate	deviate_vrb	verb	diːˌviːˌeɪt	Lexical	PSI
diagnoses	diagnoses_nou	noun	ˌdaɪəɡ'noʊˌsiːz	Morphosyntactic	PoS
diagnoses	diagnoses_vrb	verb	ˌdaɪəɡ'noʊsəz	Morphosyntactic	PoS
diffuse	diffuse_adj	adjective	də'fjuːs	Morphosyntactic	PoS
diffuse	diffuse_vrb	verb	də'fjuːz	Morphosyntactic	PoS
discard	discard_nou	noun	dɪsˌkɑːɹd	Morphosyntactic	PoS
discard	discard_vrb	verb	dəs'kɑːɹd	Morphosyntactic	PoS
discharge	discharge_nou	noun	dɪsˌʧɑːɹʤ	Morphosyntactic	PoS
discharge	discharge_vrb	verb	dəs'ʧɑːɹʤ	Morphosyntactic	PoS
discount	discount_vrb	verb	dəs'kaʊnt	Morphosyntactic	PoS
document	document_nou	noun	dɑːˌkjuːmənt	Morphosyntactic	PoS
document	document_vrb	verb	dɑːkjəˌmɛnt	Morphosyntactic	PoS
duplicate	duplicate_vrb	verb	duːpləkˌeɪt	Morphosyntactic	PoS
elaborate	elaborate_adj	adjective	ə'læbɚət	Morphosyntactic	PoS
